序号,指标类型1/2/3/4/5,点描述 ,点名,实际值,期望值,D//-D,上上限H,下下限L,触发标签,坏点时间,备用1,备用2,备用3
355,1,B小机#1轴承温度,N3DCS.3TEFW840AI,,CDATA['N3DCS.3TEFW840AI'],2,CDATA['N3DCS.3BBFPTTRIP1']*10+68,CDATA['N3DCS.3BBFPTTRIP1']*45-5,,,,,1
356,1,B小机#2轴承温度,N3DCS.3TEFW839AI,,CDATA['N3DCS.3TEFW839AI'],2,CDATA['N3DCS.3BBFPTTRIP1']*10+68,CDATA['N3DCS.3BBFPTTRIP1']*45-5,,,,,1
357,1,B小机侧推力轴承温度1,N3DCS.3TEFW841AI,,CDATA['N3DCS.3TEFW841AI'],2,CDATA['N3DCS.3BBFPTTRIP1']*10+45,CDATA['N3DCS.3BBFPTTRIP1']*45-5,,,,,1
358,1,B小机侧推力轴承温度2,N3DCS.3TEFW842AI,,CDATA['N3DCS.3TEFW842AI'],2,CDATA['N3DCS.3BBFPTTRIP1']*10+80,CDATA['N3DCS.3BBFPTTRIP1']*45-5,,,,,1
359,1,B小机侧推力轴承温度3,N3DCS.3TEFW843AI,,CDATA['N3DCS.3TEFW843AI'],2,CDATA['N3DCS.3BBFPTTRIP1']*10+75,CDATA['N3DCS.3BBFPTTRIP1']*45-5,,,,,1
360,1,B小机主泵#1轴承温度,N3DCS.3TEFW855AI,,CDATA['N3DCS.3TEFW855AI'],2,CDATA['N3DCS.3BBFPTTRIP1']*10+58,CDATA['N3DCS.3BBFPTTRIP1']*45-5,,,,,1
361,1,B小机主泵#2轴承温度,N3DCS.3TEFW856AI,,CDATA['N3DCS.3TEFW856AI'],2,CDATA['N3DCS.3BBFPTTRIP1']*10+65,CDATA['N3DCS.3BBFPTTRIP1']*45-5,,,,,1
362,1,B主泵出口侧推力轴承温度1,N3DCS.3TEFW854AI,,CDATA['N3DCS.3TEFW854AI'],2,CDATA['N3DCS.3BBFPTTRIP1']*20+52,CDATA['N3DCS.3BBFPTTRIP1']*45-5,,,,,1
363,1,B主泵出口侧推力轴承温度2,N3DCS.3TEFW865AI,,CDATA['N3DCS.3TEFW865AI'],2,CDATA['N3DCS.3BBFPTTRIP1']*10+59,CDATA['N3DCS.3BBFPTTRIP1']*45-5,,,,,1
364,1,B小机冷油器出口温度,N3DCS.3TEFW858AI,,CDATA['N3DCS.3CCSLOILASP'],3//15,CDATA['N3DCS.3BBFPTTRIP1']*4+41,CDATA['N3DCS.3BBFPTTRIP1']*18+20,,,,,1
365,1,B小机油箱温度,N3DCS.3TEFW882AI,,CDATA['N3DCS.3CCSLOILASP']+5,10//20,CDATA['N3DCS.3BBFPTTRIP1']*5+47,CDATA['N3DCS.3BBFPTTRIP1']*30+10,,,,,1
366,1,B小机高压汽源温度,N3DCS.3TEES270AI,,CDATA['N3DCS.3TEES270AI'],10,CDATA['N3DCS.3BBFPTTRIP1']*150+165,CDATA['N3DCS.3BBFPTTRIP1']*30+10,,,,,1
367,1,B小机低压汽源温度,N3DCS.3TEES267AI,,CDATA['N3DCS.3TEES267AI'],10,CDATA['N3DCS.3BBFPTTRIP1']*110+290,CDATA['N3DCS.3BBFPTTRIP1']*210+10,,,,,1
368,1,B小机泵体底部温度,N3DCS.3TEFW866AI,,CDATA['N3DCS.3TEFW075AI']-20,30//20,CDATA['N3DCS.3TEFW075AI'],CDATA['N3DCS.3BBFPTTRIP1']*CDATA['N3DCS.3TEFW075AI']-40,,,,,1
369,1,B小机泵体顶部温度,N3DCS.3TEFW867AI,,CDATA['N3DCS.3TEFW075AI']-15,30//20,CDATA['N3DCS.3TEFW075AI']+5,CDATA['N3DCS.3BBFPTTRIP1']*CDATA['N3DCS.3TEFW075AI']-40,,,,,1
370,1//3,B小机盘车,N3DCS.3ZAFW15BDI,,,,"min(max(30-CDATA['N3DCS.3FPTWS1B'],0),1)","min(max(30-CDATA['N3DCS.3FPTWS1B'],0),1)",,,,,1
371,1,B小机排烟机,N3DCS.3ZAFW13BDI,,,,CDATA['N3DCS.3ZAFW11PADI']+CDATA['N3DCS.3ZAFW11PBDI'],"min(CDATA['N3DCS.3ZAFW11PADI']+CDATA['N3DCS.3ZAFW11PBDI'],1)",,,,,1
372,1,B小机油箱加热器,N3DCS.3ZAFW14BDI,,,,0,0,,,,,1
373,1,B小机排汽电动门开,N3DCS.3ZOTD014DI,,,,1,CDATA['N3DCS.3BBFPTTRIP1'],,,,,1
374,1,B小机排汽电动门关,N3DCS.3ZCTD014DI,,,,1-CDATA['N3DCS.3ZOTD012DI'],1-CDATA['N3DCS.3ZOTD012DI'],,,,,1
375,1,低压抽汽至B小机电动门,N3DCS.3ZOES052DI,,,,1,CDATA['N3DCS.3BBFPTTRIP1'],,,,,1
376,1,低压抽汽至B小机逆止门关节点,N3DCS.3ZCES053DI,,,,1-CDATA['N3DCS.3ZOES052DI'],1-CDATA['N3DCS.3ZOES052DI'],,,,,1
377,1,B小机主汽进气门,N3DCS.3ZOES061DI,,,,0,0,,,,,1
378,1,B低压汽源流量,N3DCS.3FTES263AI,FILTER1//10,yc('N3DCS.3FTES263AI'),2,CDATA['N3DCS.3BBFPTTRIP1']*25+2,CDATA['N3DCS.3BBFPTTRIP1']*5,,,,,1
379,1//3,B小机出口门开,N3DCS.3ZOFW004DI,,,,"max(CDATA['N3DCS.3PTFW087AI']-CDATA['N3DCS.3PTFW089AI']+300,0)*CDATA['N3DCS.3ABFPTTRIP1']",1-CDATA['N3DCS.3ABFPTTRIP1'],1-CDATA['N3DCS.3BBFPTTRIP1'],,,,1
380,1//3,B小机出口门关,N3DCS.3ZCFW004DI,,,,1-CDATA['N3DCS.3ZOFW004DI'],1-CDATA['N3DCS.3ZOFW004DI'],,,,,1
381,1,电泵电流,N3DCS.3ITAP061AI,,CDATA['N3DCS.3ITAP061AI'],5,374,-2,,,,,1
382,1,电泵勺管指令,N3DCS.3SYFW02PAO,,,,30,-1,,,,,1
383,1,电泵再循环反馈,N3DCS.3ZTFW035AI,,CDATA['N3DCS.3FYFW035AO'],5,101,-1,,,,,1
384,1,电泵流量,N3DCS.3FTFW101AI,,,,"Sfunline(CDATA['N3DCS.3STFW02PAI'],[-10,110,2000,300,3000,400,4000,430,5000,440,5150,450,6000,450,6500,450])","Sfunline(CDATA['N3DCS.3STFW02PAI'],[-50,-200,1300,60,2000,93,3000,116,4000,137,5000,157,5150,163,6000,250])",,,,,1
385,1,电泵马达线圈温度1,N3DCS.3TEFW816AI,,,,120,CDATA['N3DCS.3ZAFW02PDI']*25+5,,,,,1
386,1,电泵马达线圈温度2,N3DCS.3TEFW817AI,,,,120,CDATA['N3DCS.3ZAFW02PDI']*25+5,,,,,1
387,1,电泵马达线圈温度3,N3DCS.3TEFW818AI,,,,120,CDATA['N3DCS.3ZAFW02PDI']*25+5,,,,,1
388,1,电泵泵体底部温度,N3DCS.3TEFW860AI,,CDATA['N3DCS.3TEFW075AI']-20,20,CDATA['N3DCS.3TEFW075AI']+10,CDATA['N3DCS.3ZAFW02PDI']-35,,,,,1
389,1//3,电泵运行,N3DCS.3ZAFW02PDI,,,,1,0,,,,,1
390,1//3,电泵停止,N3DCS.3ZBFW02PDI,,,,1-CDATA['N3DCS.3ZAFW02PDI'],1-CDATA['N3DCS.3ZAFW02PDI'],,,,,1
391,1//3,电泵出口门开,N3DCS.3ZOFW007DI,,,,"max(CDATA['N3DCS.3PTFW088AI']-CDATA['N3DCS.3PTFW089AI']+300,0)*CDATA['N3DCS.3ZAFW02PDI']",0,,,,,1
392,1//3,电泵出口门关,N3DCS.3ZCFW007DI,,,,1-CDATA['N3DCS.3ZOFW007DI'],1-CDATA['N3DCS.3ZOFW007DI'],,,,,1
393,1,电泵辅助油泵,N3DCS.3ZAFW09PDI,,,,1-CDATA['N3DCS.3ZAFW02PDI'],1-CDATA['N3DCS.3ZAFW02PDI'],,,,,1
394,1,电泵线圈温度平均值,N3DCS.MDBFPSTAAVE,"np.sum([CDATA['N3DCS.3TEFW816AI'],CDATA['N3DCS.3TEFW817AI'],CDATA['N3DCS.3TEFW818AI']])/3",CDATA['N3DCS.MDBFPSTAAVE'],20,CDATA['N3DCS.3ZAFW02PDI']*20+55,CDATA['N3DCS.3ZAFW02PDI']*15+25,,,,,1
395,1,工作油冷油器进口油温,N3DCS.3TEFW809AI,,CDATA['N3DCS.3TEFW809AI'],2,CDATA['N3DCS.3ZAFW02PDI']*60+48,21,,,,,1
396,1,工作油冷油器出口油温,N3DCS.3TEFW810AI,,CDATA['N3DCS.3TEFW810AI'],2,47,21,,,,,1
397,1,润滑油冷油器进口油温,N3DCS.3TEFW811AI,,CDATA['N3DCS.3TEFW811AI'],2,46+CDATA['N3DCS.3ZAFW02PDI']*21,21,,,,,1
398,1,润滑油冷油器出口油温,N3DCS.3TEFW868AI,,CDATA['N3DCS.3TEFW868AI'],2,36+CDATA['N3DCS.3ZAFW02PDI']*10,21,,,,,1
399,1,电泵前置泵推力轴承出口温度,N3DCS.3TEFW801AI,,CDATA['N3DCS.3TEFW801AI'],2,50+CDATA['N3DCS.3TEFW801AI']*10,21,,,,,1
400,1,电泵前置泵推力轴承入口温度,N3DCS.3TEFW802AI,,CDATA['N3DCS.3TEFW802AI'],2,50+CDATA['N3DCS.3TEFW802AI']*10,21,,,,,1
401,1,电泵第一级轴承出口温度,N3DCS.3TEFW803AI,,CDATA['N3DCS.3TEFW803AI'],2,60+CDATA['N3DCS.3TEFW803AI']*10,21,,,,,1
402,1,电泵第一级轴承入口温度,N3DCS.3TEFW804AI,,CDATA['N3DCS.3TEFW804AI'],2,60+CDATA['N3DCS.3TEFW804AI']*10,21,,,,,1
403,1,电泵第一级推力轴承入口温度,N3DCS.3TEFW805AI,,CDATA['N3DCS.3TEFW805AI'],2,55+CDATA['N3DCS.3TEFW805AI']*10,21,,,,,1
404,1,电泵第二级轴承出口温度,N3DCS.3TEFW806AI,,CDATA['N3DCS.3TEFW806AI'],2,50+CDATA['N3DCS.3TEFW806AI']*10,21,,,,,1
405,1,电泵第二级轴承入口温度,N3DCS.3TEFW807AI,,CDATA['N3DCS.3TEFW807AI'],2,60+CDATA['N3DCS.3TEFW807AI']*10,21,,,,,1
406,1,电泵第二级推力轴承温度,N3DCS.3TEFW808AI,,CDATA['N3DCS.3TEFW808AI'],2,55+CDATA['N3DCS.3TEFW808AI']*10,21,,,,,1
407,1,电泵液力耦合器轴承温度,N3DCS.3TEFW812AI,,CDATA['N3DCS.3TEFW812AI'],2,45+CDATA['N3DCS.3TEFW812AI']*10,21,,,,,1
408,1,电泵推力轴承温度,N3DCS.3TEFW813AI,,CDATA['N3DCS.3TEFW813AI'],2,55+CDATA['N3DCS.3TEFW813AI']*10,21,,,,,1
409,1,电泵非驱动端轴承温度,N3DCS.3TEFW814AI,,CDATA['N3DCS.3TEFW814AI'],2,55+CDATA['N3DCS.3TEFW814AI']*10,21,,,,,1
410,1,电泵套管轴承温度,N3DCS.3TEFW815AI,,CDATA['N3DCS.3TEFW815AI'],2,45+CDATA['N3DCS.3TEFW815AI']*10,20,,,,,1
411,1,电泵电机入口轴承温度,N3DCS.3TEFW819AI,,CDATA['N3DCS.3TEFW819AI'],2,45+CDATA['N3DCS.3TEFW819AI']*10,20,,,,,1
412,1,电泵电机出口轴承温度,N3DCS.3TEFW820AI,,CDATA['N3DCS.3TEFW820AI'],2,50+CDATA['N3DCS.3TEFW820AI']*10,20,,,,,1
413,1,电泵工作油温 ,N3DCS.3TEFW859AI,,CDATA['N3DCS.3TEFW859AI'],2,45+CDATA['N3DCS.3TEFW859AI']*10,20,,,,,1
414,1,汽包水位,N3DCS.3LTFW505X,,CDATA['N3DCS.3DRMLVSP'],60,-50,-240,,,标题，运行参数,mm,1
415,1,FW014反馈,N3DCS.3ZTFW014AI,,CDATA['N3DCS.3PYFW014AO'],15,100,5.5,,,,,1
416,1,给水母管压力1,N3DCS.3PTFW089AI,,"round(Sfunline(PABCOUT[0],[-1,0,1,1,5,5,8,7.5,12,12,15,15,20,19.2,27,26])*1000,1)",1500,20000,0,CDATA['N3DCS.3BM04614'],,,,1
417,1,给水母管压力2,N3DCS.3PTFW057AI,,"round(Sfunline(PABCOUT[0],[-1,0,1,1,5,5,8,7.5,12,12,15,15,20,19.2,27,26])*1000,1)",1500,20000,0,CDATA['N3DCS.3BM04614'],,,,1
418,1,A小机出口压力,N3DCS.3PTFW086AI,,"round(Sfunline(PAout[0],[-1,0,1,1,5,5,8,8,12,11.5,15,14.5,20,19.2,27,26])*1000,1)",1500,20000,0,CDATA['N3DCS.3BM04614'],,,,1
419,1,B小机出口压力,N3DCS.3PTFW087AI,,"round(Sfunline(PBout[0],[-1,0,1,1,5,5,8,8,12,11.5,15,14.5,20,19.2,27,26])*1000,1)",1500,20000,0,CDATA['N3DCS.3BM04614'],,,,1
420,1,电泵出口压力,N3DCS.3PTFW088AI,,"round(Sfunline(PMout[0],[-1,0,1,1,5,5,8,8,12,12,15,15,20,19.2,27,26])*1000,1)",1500,20000,0,CDATA['N3DCS.3BM04614'],,,,1
421,1,凝汽器水位,N3DCS.3LTCD315AI,,CDATA['N3DCS.3CCSCDLEVSP'],100//50,160,0,,,运行参数,,1
422,1,除氧器水位1,N3DCS.3LTCD340AI,(DEAtank[1]*1000-2750) if abs(CDATA['N3DCS.3LTCD341AI'])> 150 else CDATA['N3DCS.3LTCD341AI'],CDATA['N3DCS.3CCSDEALEVSP'],50,70,-70,,,标题，运行参数,mm,1
423,1,除氧器水位2,N3DCS.3LTCD341AI,(DEAtank[1]*1000-2750) if abs(CDATA['N3DCS.3LTCD341AI'])> 150 else CDATA['N3DCS.3LTCD341AI'],CDATA['N3DCS.3CCSDEALEVSP'],50,70,-70,,,,,1
424,1,凝结水母管压力,N3DCS.3PTCD332AI,FILTER//10,1100,800//200,"min(CDATA['N3DCS.3ZOCD005DI']+CDATA['N3DCS.3ZOCD007DI']+CDATA['N3DCS.3ZOCD009DI'],1)*2000+200","min(CDATA['N3DCS.3ZOCD005DI']+CDATA['N3DCS.3ZOCD007DI']+CDATA['N3DCS.3ZOCD009DI'],1)*1000-100",CDATA['N3DCS.3BM04614'],,运行参数,,1
425,1,A凝结水泵电流,N3DCS.3ITAP044AI,,yc('N3DCS.3ITAP044AI')*CDATA['N3DCS.3BLHBPA04DI'],7,52*CDATA['N3DCS.3BLHBPA04DI']+1,6*CDATA['N3DCS.3BLHBPA04DI']-1,,,运行参数,,1
426,1,A凝结水泵线圈温度A,N3DCS.3TECD601AI,,"np.median([CDATA['N3DCS.3TECD601AI'],CDATA['N3DCS.3TECD602AI'],CDATA['N3DCS.3TECD603AI']])",10,75,20,,,,,1
427,1,A凝结水泵线圈温度B,N3DCS.3TECD602AI,,"np.median([CDATA['N3DCS.3TECD601AI'],CDATA['N3DCS.3TECD602AI'],CDATA['N3DCS.3TECD603AI']])",10,75,20,,,,,1
428,1,A凝结水泵线圈温度C,N3DCS.3TECD603AI,,"np.median([CDATA['N3DCS.3TECD601AI'],CDATA['N3DCS.3TECD602AI'],CDATA['N3DCS.3TECD603AI']])",10,75,20,,,,,1
429,1,B凝结水泵电流,N3DCS.3ITAP045AI,,(yc('N3DCS.3ITAP045AI')-2)*CDATA['N3DCS.3BLHBPB04DI'],8//5,52*CDATA['N3DCS.3BLHBPB04DI']+1,6*CDATA['N3DCS.3BLHBPB04DI']-1,,,运行参数,,1
430,1,B凝结水泵线圈温度A,N3DCS.3TECD607AI,,"np.median([CDATA['N3DCS.3TECD607AI'],CDATA['N3DCS.3TECD608AI'],CDATA['N3DCS.3TECD609AI']])",10,75,20,,,,,1
431,1,B凝结水泵线圈温度B,N3DCS.3TECD608AI,,"np.median([CDATA['N3DCS.3TECD607AI'],CDATA['N3DCS.3TECD608AI'],CDATA['N3DCS.3TECD609AI']])",10,75,20,,,,,1
432,1,B凝结水泵线圈温度C,N3DCS.3TECD609AI,,"np.median([CDATA['N3DCS.3TECD607AI'],CDATA['N3DCS.3TECD608AI'],CDATA['N3DCS.3TECD609AI']])",10,75,20,,,,,1
433,1,C凝结水泵电流,N3DCS.3ITAP046AI,,yc('N3DCS.3ITAP046AI')*CDATA['N3DCS.3BLHBPC04DI'],7,52*CDATA['N3DCS.3BLHBPC04DI']+1,6*CDATA['N3DCS.3BLHBPC04DI']-1,,,运行参数,,1
434,1,C凝结水泵线圈温度A,N3DCS.3TECD613AI,,"np.median([CDATA['N3DCS.3TECD613AI'],CDATA['N3DCS.3TECD614AI'],CDATA['N3DCS.3TECD615AI']])",10,75,20,,,,,1
435,1,C凝结水泵线圈温度B,N3DCS.3TECD614AI,,"np.median([CDATA['N3DCS.3TECD613AI'],CDATA['N3DCS.3TECD614AI'],CDATA['N3DCS.3TECD615AI']])",10,75,20,,,,,1
436,1,C凝结水泵线圈温度C,N3DCS.3TECD615AI,,"np.median([CDATA['N3DCS.3TECD613AI'],CDATA['N3DCS.3TECD614AI'],CDATA['N3DCS.3TECD615AI']])",10,75,20,,,,,1
437,1,补给水流量,N3DCS.3FTCD323AI,VmakeupCTR[5]/1000 if CDATA['N3DCS.3FTCD323AI']>71 and time_numb>2 else CDATA['N3DCS.3FTCD323AI'],VmakeupCTR[5]/1000,10,90,-1,,,,,1
438,1,补给水调阀开度,N3DCS.3ZTCD046AI,,CDATA['N3DCS.3LYCD046AO'],5,105,-2,,,,,1
439,1,补给水箱水位,N3DCS.3LTCD398AI,,,,4600,2330,,,运行参数,,1
440,1,补给水箱补水阀门开节点,N3DCS.3ZOCD260DI,,,,1 if CDATA['N3DCS.3LTCD398AI']<4450 else 0,0 if CDATA['N3DCS.3LTCD398AI']>2350 else 1,,,,,1
441,1,除氧器水位调节主阀开度,N3DCS.3ZTCD013AI,FILTER//20,CDATA['N3DCS.3LYCD013AO'],15,105,-2,,,,,1
442,1,除氧器水位调节副阀开度,N3DCS.3ZTCD017AI,,CDATA['N3DCS.3LYCD017AO'],6,105,-2,,,,,1
443,1,凝结水再循环反馈,N3DCS.3ZTCD057AI,,CDATA['N3DCS.3FYCD057AO'],5,105,-2,,,,,1
444,1,凝结水母管温度,N3DCS.3TECD334AI,,0.5*CDATA['N3DCS.3TECD310AI']+0.5*CDATA['N3DCS.3TECD313AI'],6,0.5*CDATA['N3DCS.3TECD310AI']+0.5*CDATA['N3DCS.3TECD313AI']+7,0.5*CDATA['N3DCS.3TECD310AI']+0.5*CDATA['N3DCS.3TECD313AI']-10,,,,,1
445,1,轴加入口凝结水温度,N3DCS.3TECD415AI,,0.5*CDATA['N3DCS.3TECD310AI']+0.5*CDATA['N3DCS.3TECD313AI'],5//15,0.5*CDATA['N3DCS.3TECD310AI']+0.5*CDATA['N3DCS.3TECD313AI']+10,0.5*CDATA['N3DCS.3TECD310AI']+0.5*CDATA['N3DCS.3TECD313AI']-15,,,,,1
446,1,轴加出口凝结水温度,N3DCS.3TECD302AI,,CDATA['N3DCS.3TECD334AI']+3.5,15//12,CDATA['N3DCS.3TECD334AI']+20,CDATA['N3DCS.3ZOCD012DI']*CDATA['N3DCS.3TECD334AI']-10,,,,,1
447,1//3,A凝结水泵入口门开,N3DCS.3ZOCD001DI,,,,1,CDATA['N3DCS.3ZACD01PADI'],,,,,1
448,1//3,A凝结水泵入口门关,N3DCS.3ZCCD001DI,,,,1-CDATA['N3DCS.3ZOCD001DI'],1-CDATA['N3DCS.3ZOCD001DI'],,,,,1
449,1//3,A凝结水泵出口门开,N3DCS.3ZOCD005DI,,,,CDATA['N3DCS.3ZACD01PADI'],CDATA['N3DCS.3ZACD01PADI'],,,,,1
450,1//3,A凝结水泵出口门关,N3DCS.3ZCCD005DI,,,,1-CDATA['N3DCS.3ZOCD005DI'],1-CDATA['N3DCS.3ZOCD005DI'],,,,,1
451,1//3,B凝结水泵入口门开,N3DCS.3ZOCD002DI,,,,1,CDATA['N3DCS.3ZACD01PBDI'],,,,,1
452,1//3,B凝结水泵入口门关,N3DCS.3ZCCD002DI,,,,1-CDATA['N3DCS.3ZOCD002DI'],1-CDATA['N3DCS.3ZOCD002DI'],,,,,1
453,1//3,B凝结水泵出口门开,N3DCS.3ZOCD007DI,,,,CDATA['N3DCS.3ZACD01PBDI'],CDATA['N3DCS.3ZACD01PBDI'],,,,,1
454,1//3,B凝结水泵出口门关,N3DCS.3ZCCD007DI,,,,1-CDATA['N3DCS.3ZOCD007DI'],1-CDATA['N3DCS.3ZOCD007DI'],,,,,1
455,1//3,C凝结水泵入口门开,N3DCS.3ZOCD003DI,,,,1,CDATA['N3DCS.3ZACD01PCDI'],,,,,1
456,1//3,C凝结水泵入口门关,N3DCS.3ZCCD003DI,,,,1-CDATA['N3DCS.3ZOCD003DI'],1-CDATA['N3DCS.3ZOCD003DI'],,,,,1
457,1//3,C凝结水泵出口门开,N3DCS.3ZOCD009DI,,,,CDATA['N3DCS.3ZACD01PCDI'],CDATA['N3DCS.3ZACD01PCDI'],,,,,1
458,1//3,C凝结水泵出口门关,N3DCS.3ZCCD009DI,,,,1-CDATA['N3DCS.3ZOCD009DI'],1-CDATA['N3DCS.3ZOCD009DI'],,,,,1
459,1//3,A凝结水泵变频指令,N3DCS.3BLHBPA01AO,,,,90 if CDATA['N3DCS.3ZACD01PADI']+CDATA['N3DCS.3ZACD01PBDI']+CDATA['N3DCS.3ZACD01PCDI']==1 else 100,0,1-CDATA['N3DCS.3ZACD01PADI'],100,,,1
460,1//3,B凝结水泵变频指令,N3DCS.3BLHBPB01AO,,,,90 if CDATA['N3DCS.3ZACD01PADI']+CDATA['N3DCS.3ZACD01PBDI']+CDATA['N3DCS.3ZACD01PCDI']==1 else 100,0,1-CDATA['N3DCS.3ZACD01PBDI'],100,,,1
461,1//3,C凝结水泵变频指令,N3DCS.3BLHBPC01AO,,,,90 if CDATA['N3DCS.3ZACD01PADI']+CDATA['N3DCS.3ZACD01PBDI']+CDATA['N3DCS.3ZACD01PCDI']==1 else 100,0,1-CDATA['N3DCS.3ZACD01PCDI'],100,,,1
462,1//3,低省旁路电动门,N3DCS.3ZOLE005DI,,,,1,"min(max(CDATA['N3DCS.3ZTLE018AI']-95,0),1)",,,,,1
463,1,#4低加出口温度,N3DCS.3TECD354AI,,,,CDATA['N3DCS.3TECD356AI']+40,CDATA['N3DCS.3TECD356AI'] ,CDATA['N3DCS.3BM04614'],,,,1
464,1,A补给水泵运行,N3DCS.3ZACD04PADI,,,,1,1-CDATA['N3DCS.3ZACD04PBDI'],CDATA['N3DCS.3BM04614'],,,,1
465,1,B补给水泵运行,N3DCS.3ZACD04PBDI,,,,1,1-CDATA['N3DCS.3ZACD04PADI'],CDATA['N3DCS.3BM04614'],,,,1
466,1,事故补水阀开节点,N3DCS.3ZOCD050DI,,,,1,0,,,,,1
467,1,事故补水阀关节点,N3DCS.3ZCCD050DI,,,,1-CDATA['N3DCS.3ZOCD050DI'],1-CDATA['N3DCS.3ZOCD050DI'],,,,,1
468,1//4,A磨电流,N3DCS.3ITAP040AI,,yc('N3DCS.3ITAP040AI')*CDATA['N3DCS.3ZACH11CPDI'],"max(yc('N3DCS.3ITAP040AI')-CDATA['N3DCS.3ITAP040AI'],0)+10",CDATA['N3DCS.3ZACH11CPDI']*78+2,CDATA['N3DCS.3ZACH11CPDI']*50-2,,,运行参数,,1
469,1//4,3A磨煤机差压,N3DCS.3PTCH621AI,,yc('N3DCS.3PTCH621AI')*CDATA['N3DCS.3ZACH11CPDI'],1+(1-CDATA['N3DCS.3ZACH11CPDI'])*3,3.2,-0.1,,,运行参数,,1
470,1//4,A磨一次风流量,N3DCS.3FTBA183X,,(yc('N3DCS.3FTBA183X')-5)*CDATA['N3DCS.3ZACH11CPDI'],"max(CDATA['N3DCS.3FTBA183X']-yc('N3DCS.3FTBA183X'),0)+8+(1-CDATA['N3DCS.3ZACH11CPDI'])*100",115,CDATA['N3DCS.3ZACH11CPDI']*66,,,运行参数,,1
471,1//4,A磨出口温度,N3DCS.3TECH605S,,CDATA['N3DCS.3CCSMILLATST'],5 if CDATA['N3DCS.3ITAP040AI'] >10 else 80//10 if CDATA['N3DCS.3ITAP040AI'] >10 else 80,80 if CDATA['N3DCS.3ITAP040AI'] >10 else 88,CDATA['N3DCS.3ZACH11CPDI']*52,,,运行参数,,1
472,1//4,A磨煤量,N3DCS.3QTCH521AI,FILTER1//10,CDATA['N3DCS.3SZCH537AO']*0.7,5,1+CDATA['N3DCS.3XSCH733DI']*54.5,-0.5+CDATA['N3DCS.3XSCH733DI']*16,,,运行参数,,1
473,1//4,A磨冷风挡板开度,N3DCS.3ZTBA171AI,,CDATA['N3DCS.3TZBA171AO'],8,102,-2,,,,,1
474,1//4,A磨热风挡板开度,N3DCS.3ZTBA161AI,,CDATA['N3DCS.3FZBA161AO'],8,102,-2,,,,,1
475,1//4,A磨原煤仓煤位,N3DCS.3WTCH501AI,,,,17,6*CDATA['N3DCS.3ZACH11CPDI'],,,,,1
476,1//4,A磨原煤仓煤量,N3DCS.3AMILLCOALQ,"0.1347*pow(CDATA['N3DCS.3WTCH501AI'],3)-0.6137*pow(CDATA['N3DCS.3WTCH501AI'],2)+2.4404*CDATA['N3DCS.3WTCH501AI']+2.255",CDATA['N3DCS.3AMILLCOALQ'],1,500,10*CDATA['N3DCS.3ZACH11CPDI'],,,,,1
477,1,A磨A1B火检(煤),N3DCS.3BIBY626DI,,,,1,CDATA['N3DCS.3ZACH11CPDI'],,,,,1
478,1,A磨A2B火检(煤),N3DCS.3BIBY628DI,,,,1,CDATA['N3DCS.3ZACH11CPDI'],,,,,1
479,1,A磨A3B火检(煤),N3DCS.3BIBY630DI,,,,1,CDATA['N3DCS.3ZACH11CPDI'],,,,,1
480,1,A磨A4B火检(煤),N3DCS.3BIBY632DI,,,,1,CDATA['N3DCS.3ZACH11CPDI'],,,,,1
481,1,A磨A5B火检(煤),N3DCS.3BIBY634DI,,,,1,CDATA['N3DCS.3ZACH11CPDI'],,,,,1
482,1,A磨A6B火检(煤),N3DCS.3BIBY636DI,,,,1,CDATA['N3DCS.3ZACH11CPDI'],,,,,1
483,1,A磨惰化蒸汽电动门开,N3DCS.3ZOAS511DI,,,,1 if CDATA['N3DCS.3TECH605S']>80 else 0,1 if CDATA['N3DCS.3TECH605S']>80 and CDATA['N3DCS.3ITAP040AI']>10 else 0,,,,,1
484,1//4,B磨电流,N3DCS.3ITAP041AI,,yc('N3DCS.3ITAP041AI')*CDATA['N3DCS.3ZACH12CPDI'],"max(yc('N3DCS.3ITAP041AI')-CDATA['N3DCS.3ITAP041AI'],0)+7",CDATA['N3DCS.3ZACH12CPDI']*78+2,CDATA['N3DCS.3ZACH12CPDI']*50-2,,,运行参数,,1
485,1//4,3B磨煤机差压,N3DCS.3PTCH622AI,,yc('N3DCS.3PTCH622AI')*CDATA['N3DCS.3ZACH12CPDI'],1+(1-CDATA['N3DCS.3ZACH12CPDI'])*3,3.2,-0.1,,,运行参数,,1
486,1//4,B磨一次风流量,N3DCS.3FTBA184X,,CDATA['N3DCS.3CCSPABST']*CDATA['N3DCS.3ZACH12CPDI'],"max(CDATA['N3DCS.3FTBA184X']-yc('N3DCS.3FTBA184X'),0)+8+(1-CDATA['N3DCS.3ZACH12CPDI'])*100",115,CDATA['N3DCS.3ZACH12CPDI']*66,,,运行参数,,1
487,1//4,B磨出口温度,N3DCS.3TECH606S,,CDATA['N3DCS.3CCSMILLBTST'],5 if CDATA['N3DCS.3ITAP041AI'] >10 else 80//10 if CDATA['N3DCS.3ITAP041AI'] >10 else 80,80 if CDATA['N3DCS.3ITAP041AI'] >10 else 88,CDATA['N3DCS.3ZACH12CPDI']*52,,,运行参数,,1
